source_id,ra,dec,parallax,Gaia_G-Gaia_Bp,Gaia_G-Gaia_Rp,Gaia_Bp-Gaia_Rp,Jmag-Hmag,Jmag-Kmag,Hmag-Kmag,W1-W2,Gaia_G,Gaia_Bp,Gaia_Rp,Jmag,Hmag,Kmag,W1,W2,prob_enn,prob_tomek,prob_smt,ponderacion
431511550298172800,2.1755100290452916,63.009350314872854,0.1848585076358392,-0.88933945,0.93747234,1.8268118,0.68200016,1.2259998,0.5439997,0.7889999999999997,12.575298,13.464638,11.637826,10.285,9.603,9.059,7.87,7.081,0.9841965,0.9845584,0.98945796,0.98607093
3101602940525405184,104.79794365668597,-4.9166178045310645,0.21537381260180927,-1.1862745,1.0922794,2.278554,0.71299934,1.2839994,0.5710001,0.27800000000000047,13.619547,14.805821,12.527267,10.848,10.135,9.564,9.14,8.862,0.99664223,0.9814781,0.97779614,0.9853055
2934572487022536192,107.16165348201707,-17.63020901350647,0.1849409597990552,-0.42889118,0.63852406,1.0674152,0.63899994,1.5360003,0.8970003,0.7850000000000001,10.823021,11.251912,10.184497,9.404,8.765,7.868,6.442,5.657,0.93459886,0.91160685,0.9352029,0.9271362
3102242645833967488,101.88297414036032,-4.716328191276722,0.2360397663351682,-0.89033794,0.96111107,1.851449,0.4779997,0.8920002,0.4140005,0.2919999999999998,12.399849,13.290187,11.438738,9.927,9.449,9.035,8.571,8.279,0.98511314,0.7372188,0.76324797,0.8285267
2934166389275261824,106.5624201418859,-19.074205602117157,0.189423530498047,-0.20958996,0.3780489,0.58763885,0.33500004,0.9970007,0.66200066,0.7469999999999999,12.827811,13.037401,12.449762,11.97,11.635,10.973,9.79,9.043,0.9201424,0.68348545,0.8178915,0.8071731
3102647407854354176,104.19220921000978,-3.6537362839578056,0.6443770208055846,-0.30938148,0.4892707,0.7986522,0.19000006,0.3300004,0.14000034,0.11800000000000033,7.727479,8.03686,7.2382083,6.642,6.452,6.312,6.214,6.096,0.77101,0.7009065,0.8127397,0.76155204
5588624884515385472,115.90445551199898,-34.301457789664205,0.30019423115156807,-1.006011,0.99769115,2.0037022,0.55099964,1.1160002,0.56500053,0.3799999999999999,11.645955,12.651966,10.648264,9.132,8.581,8.016,7.555,7.175,0.9992397,0.9907003,0.99392515,0.9946217
5598104289661168768,115.15570248626989,-31.694311864476905,0.21171034987327828,-0.13858318,0.30395985,0.44254303,0.27999973,0.59500027,0.31500053,0.3460000000000001,11.143868,11.282452,10.839909,10.361,10.081,9.766,9.244,8.898,0.96231747,0.9494886,0.9451801,0.95232874
5619002294851004416,114.70808842762942,-22.030908384717087,0.2272685442623957,-0.16191769,0.3335991,0.49551678,0.23200035,0.5710001,0.33899975,0.31900000000000084,11.367832,11.52975,11.034233,10.463,10.231,9.892,9.428,9.109,0.93891746,0.9331549,0.9281632,0.93341184
5602035078094609792,118.1966089182533,-26.266214245440572,0.15836780468742423,-0.28026104,0.4684477,0.7487087,0.45799923,1.0669994,0.6090002,0.6989999999999998,14.308918,14.589179,13.84047,13.216,12.758,12.149,10.698,9.999,0.9865143,0.6361557,0.7355074,0.78605914
5593826360487373696,117.09764238576608,-34.384837641804026,0.20833278217865342,-1.2374649,1.1241274,2.3615923,0.5980005,0.95300007,0.35499954,0.1639999999999997,12.0086565,13.246121,10.884529,9.079,8.481,8.126,7.773,7.609,0.7666608,0.75383765,0.7655573,0.7620186
5523218201962883840,129.33344307678786,-43.860373646529254,0.1403557428137867,-0.99156475,0.9943323,1.9858971,0.5600004,1.0139999,0.45399952,0.3309999999999995,13.237627,14.229192,12.243295,10.708,10.148,9.694,9.275,8.944,0.9972458,0.98175335,0.98958045,0.9895265
5526627615713232256,128.66263675750625,-42.32810491100195,0.15150043287540013,-0.9065113,0.95537853,1.8618898,0.4960003,0.97000027,0.47399998,0.2919999999999998,13.378004,14.284515,12.422626,10.969,10.473,9.999,9.518,9.226,0.9981205,0.9608259,0.9741649,0.9777038
5539999188935777920,125.17571750581111,-39.862927227596344,0.1424798797646031,-1.7764692,1.2689495,3.0454187,0.8499994,1.2729998,0.42300034,0.08799999999999919,13.768863,15.545332,12.499913,10.105,9.255,8.832,8.511,8.423,0.96669877,0.9418291,0.91074806,0.9397586
5525073799621148800,129.9475049074139,-42.49083993102965,0.17849825397777355,-1.7905979,1.2783566,3.0689545,0.7230005,1.217,0.49399948,0.14999999999999947,13.406472,15.19707,12.128116,9.744,9.021,8.527,8.139,7.989,0.93297786,0.9002323,0.9053295,0.91284657
5523654673711086848,129.2447878412999,-42.110197620127565,0.15596938774002614,-1.4978218,1.2001123,2.6979342,0.66799927,1.059,0.39100075,0.09800000000000075,13.311668,14.80949,12.111556,9.94,9.272,8.881,8.625,8.527,0.97967553,0.8759617,0.8816227,0.91242
5526590644637495936,127.85991295562505,-42.38516987670241,0.13881845999778192,-1.3627481,1.1545525,2.5173006,0.63899994,1.0050001,0.36600018,0.08599999999999852,13.13782,14.500568,11.983268,9.913,9.274,8.908,8.655,8.569,0.9587352,0.86631763,0.85112154,0.89205813
5522361819842265728,129.42011294979304,-44.69726056139945,0.144537803287293,-0.6037741,0.7740946,1.3778687,0.43899918,0.9209995,0.48200035,0.30100000000000016,13.327893,13.931667,12.553799,11.433,10.994,10.512,10.204,9.903,0.9972856,0.7194481,0.70465356,0.8071291
5540477407779434112,125.62265741944292,-37.721645674962424,0.1249441513441937,-0.69678307,0.83295727,1.5297403,0.43900013,0.8470001,0.408,0.29100000000000037,13.240632,13.937415,12.407675,11.578,11.139,10.731,9.805,9.514,0.9984805,0.6906406,0.6559519,0.781691
5547367806634580992,122.4513538749173,-33.48224705596935,0.17203386291762965,-0.34536457,0.55328274,0.8986473,0.59299946,1.3529997,0.7600002,0.5660000000000007,14.02628,14.371645,13.472998,12.58,11.987,11.227,10.3,9.734,0.96686065,0.68676203,0.68142074,0.7783478
5527230693538536832,126.4381812260022,-41.84071754802845,0.5545083783611341,-1.4619694,1.1730623,2.6350317,0.92599964,1.5229998,0.5970001,1.2229999999999999,12.557884,14.019854,11.384822,9.353,8.427,7.83,6.489,5.266,0.9804448,0.49110985,0.8598218,0.77712554
5643327031112417664,126.21871382870691,-31.71303847387373,0.15467216777483325,-1.0860586,1.0276823,2.113741,0.7090006,1.1470003,0.43799973,-0.18200000000000038,13.190896,14.276955,12.163214,10.666,9.957,9.519,9.399,9.581,0.8658051,0.6288102,0.6363645,0.7103266
5325732135352664320,138.8507967749007,-49.70101747330126,0.24168920446988376,-2.030654,1.332901,3.363555,0.92300034,1.5440006,0.6210003,0.48100000000000076,14.131881,16.162535,12.79898,10.166,9.243,8.622,7.626,7.145,0.99877197,0.99330455,0.9937609,0.99527913
5326403112316970752,139.57587690559183,-48.021990427196336,0.3519652680365063,-2.4742804,1.4047079,3.8789883,1.0380001,1.7810001,0.74300003,0.5289999999999999,14.46951,16.94379,13.064802,10.122,9.084,8.341,7.601,7.072,0.9943929,0.9879832,0.99428743,0.9922212
5328835781809458944,132.94051193967783,-47.27756276056143,0.11266177567033542,-0.53362274,0.73079395,1.2644167,0.3579998,0.78999996,0.43200016,0.33399999999999963,13.192172,13.725795,12.461378,11.458,11.1,10.668,10.074,9.74,0.998302,0.9826155,0.9542786,0.9783986
5329864237502044160,131.19702317414482,-45.982043599594114,0.17560872012451753,-0.45947266,0.68612003,1.1455927,0.35599995,0.7470002,0.39100027,0.3310000000000004,10.372577,10.832049,9.686457,8.616,8.26,7.869,7.28,6.949,0.9969283,0.95875514,0.9752778,0.97698706
5327137826604237824,136.50002732065215,-47.31612545216229,0.5481545553915753,-1.2777796,1.1038084,2.381588,0.60599995,1.1889997,0.5829997,0.2809999999999997,11.152239,12.430018,10.04843,7.791,7.185,6.602,6.909,6.628,0.9668755,0.96216625,0.9904434,0.9731617
5326090576138034560,139.83416749856445,-49.317011079563876,0.39003880770910204,-2.708497,1.4345369,4.143034,0.9299998,1.5279999,0.59800005,0.2610000000000001,12.313331,15.021828,10.878794,7.928,6.998,6.4,6.071,5.81,0.9963851,0.9604088,0.9070488,0.9546142
5325547726635544320,138.66578190664129,-50.640751333167344,0.4395672640429068,-1.2423477,1.1033363,2.345684,0.7329998,1.4439998,0.71099997,1.2359999999999998,12.345603,13.587951,11.242267,9.381,8.648,7.937,6.524,5.288,0.9973732,0.85457593,0.9094244,0.92045784
5528953941802203648,131.36274951420225,-38.732653764114204,0.17829611396399558,-0.6722336,0.8377924,1.510026,0.7920008,1.1890001,0.39699936,0.270999999999999,12.645381,13.317615,11.807589,10.331,9.539,9.142,8.745,8.474,0.9441725,0.8586984,0.8718538,0.8915749
5300416563020145408,139.71039286112028,-58.739202783677165,0.15258309945940812,-1.8672304,1.2983656,3.165596,0.85599995,1.2709999,0.41499996,-0.23799999999999955,13.159282,15.026512,11.860916,9.732,8.876,8.461,8.303,8.541,0.953723,0.8073044,0.85498124,0.87200284
5328517438823152512,134.4941508640437,-48.173277778260115,0.3196029806483263,-1.6433296,1.2409964,2.884326,1.0539999,2.092,1.0380001,0.6390000000000002,14.343945,15.987274,13.102948,10.754,9.7,8.662,7.397,6.758,0.92476165,0.8424766,0.76811665,0.8451183
5329703326536785664,132.9118099051882,-46.25338444068894,0.12167464369707867,-1.7748632,1.2555838,3.030447,0.9630003,1.4440002,0.48099995,-0.08799999999999919,13.397316,15.172179,12.141732,9.724,8.761,8.28,8.009,8.097,0.9633439,0.7704928,0.79143995,0.8417589
5522478157608581248,130.4405965345092,-44.31230959940727,0.2009209972161138,-1.2073679,1.0862799,2.2936478,0.6149998,1.0650005,0.45000076,0.23100000000000165,13.23147,14.438838,12.14519,10.479,9.864,9.414,9.851,9.62,0.8045491,0.81285363,0.8041498,0.8071842
5330023048193921664,135.32344149792894,-47.694634622755494,0.4446359648018125,-2.635006,1.450079,4.085085,1.5169992,2.8599997,1.3430004,1.085,15.6514225,18.286428,14.201344,11.294,9.777,8.434,6.478,5.393,0.99373615,0.67354876,0.5777813,0.7483554
5329877053675472896,131.9501871265569,-46.24493165281307,0.19845142617993533,-0.61189175,0.7796278,1.3915195,0.3920002,0.78200054,0.39000034,0.32699999999999996,12.573976,13.185867,11.794348,10.803,10.411,10.021,9.574,9.247,0.9050293,0.6373833,0.6443906,0.72893435
5313246734155103488,140.00075110252962,-51.70994812457079,0.20536960159142337,-0.87529564,0.942997,1.8182926,0.47499943,0.97999954,0.5050001,0.3490000000000002,13.4115305,14.286826,12.4685335,11.103,10.628,10.123,9.58,9.231,0.99516475,0.9001116,0.88550264,0.9269263
5309520180011178240,145.0276536926406,-52.81577830656506,0.13687585574025826,-0.6360464,0.79351807,1.4295645,0.39400005,0.7989998,0.40499973,0.2889999999999997,12.506743,13.14279,11.713225,10.603,10.209,9.804,9.421,9.132,0.9976211,0.7317305,0.8502299,0.8598605
5310857289243958144,140.15932921143548,-53.20774464657601,0.16070346933777416,-1.2650671,1.0892668,2.3543339,0.9279995,1.4099998,0.48200035,0.577,12.317485,13.582552,11.228218,9.445,8.517,8.035,7.108,6.531,0.9937779,0.718782,0.83100665,0.84785557
5259400243814448640,148.86391632685692,-57.5814217561487,0.19495962227679237,-1.2547369,1.1023035,2.3570404,0.52999973,0.849,0.31900024,0.13199999999999967,12.795414,14.050151,11.69311,9.868,9.338,9.019,8.743,8.611,0.9586993,0.80410206,0.7777559,0.8468525
5308935308542630784,144.05562160019673,-54.65220414553435,0.15003560378328842,-0.7337446,0.85909176,1.5928364,0.45300007,0.82800007,0.375,0.3279999999999994,12.867915,13.60166,12.008823,10.768,10.315,9.94,9.436,9.108,0.9919624,0.72161514,0.8028782,0.83881855
5308415720582085248,146.72554909709177,-54.36288077389803,0.2952789838669442,-0.5353241,0.7163429,1.251667,0.5500002,1.3730001,0.82299995,1.1580000000000004,11.143209,11.678534,10.426867,9.395,8.845,8.022,6.54,5.382,0.972796,0.69145197,0.45875156,0.7076666
5258541426467257216,153.7082861944774,-58.4214293205082,0.15216345238876702,-0.95362186,0.9751282,1.92875,0.6210003,1.1000004,0.4790001,0.30799999999999983,13.351768,14.305389,12.376639,10.786,10.165,9.686,9.192,8.884,0.9973073,0.9927328,0.9948338,0.9949579
5354888812908396416,154.97561126700654,-56.48779073290566,0.13968185979912623,-1.3965302,1.1526318,2.549162,0.71600056,1.1780005,0.4619999,0.27200000000000024,13.128858,14.525388,11.976226,10.364,9.648,9.186,8.496,8.224,0.9985373,0.98859346,0.99013454,0.9924218
5258907082795592832,152.22864329504972,-57.27644124189292,0.14584084764307567,-1.605422,1.2205725,2.8259945,0.6750002,1.0970001,0.42199993,0.12199999999999989,13.290423,14.895845,12.069851,9.942,9.267,8.845,8.545,8.423,0.9976935,0.9851577,0.98480856,0.98921996
5254568684821161216,158.8804824168262,-59.142949585389175,0.20327468092718193,-1.3200092,1.1347008,2.45471,0.7229996,1.283,0.5600004,0.4029999999999987,14.279873,15.599882,13.145172,11.044,10.321,9.761,9.155,8.752,0.99744666,0.98360944,0.9725053,0.98452044
5258615918383117824,153.2263122520614,-57.9636193033234,0.19522624777343173,-1.3010397,1.1425219,2.4435616,0.717,1.394,0.67700005,0.4930000000000003,14.808734,16.109774,13.666212,11.67,10.953,10.276,9.285,8.792,0.9968172,0.88763773,0.9518234,0.94542617
5351420059888600448,158.14044541071448,-58.67514226263671,0.19868476920033942,-1.0669012,1.0424051,2.1093063,0.5239992,0.8989992,0.375,0.27300000000000146,13.549654,14.616555,12.507249,10.959,10.435,10.06,9.422,9.149,0.9423621,0.8693631,0.8072898,0.873005
5255330538963954432,158.14394676183022,-58.818016257184986,0.4049350885343764,-1.216794,1.0929775,2.3097715,0.5629997,0.9899998,0.42700005,0.2809999999999997,12.235715,13.452509,11.142737,9.488,8.925,8.498,8.02,7.739,0.9692394,0.7336365,0.7339281,0.81226796
5351451636490863744,158.73188636407608,-58.13831039214128,0.15670488001994426,-1.488944,1.1864872,2.6754313,0.79999924,1.1939993,0.39400005,0.05699999999999861,13.916409,15.405353,12.729921,10.492,9.692,9.298,9.001,8.944,0.84473366,0.7887826,0.5747013,0.73607254
5351563924106553344,158.63282983760502,-57.800398086805366,0.15511393152725994,-1.4747305,1.1928501,2.6675806,0.6289997,1.0220003,0.3930006,0.0860000000000003,13.488011,14.962742,12.295161,10.222,9.593,9.2,8.98,8.894,0.78358793,0.7688794,0.6290242,0.72716385
5350650229948936704,158.7784135807159,-58.98950308404437,0.19264426830958142,-1.020257,1.0387955,2.0590525,0.59100056,1.0710001,0.47999954,0.22799999999999976,14.631974,15.652231,13.593179,11.527,10.936,10.456,10.292,10.064,0.9325803,0.6169934,0.6281564,0.72591
5254521199660362880,158.7522289538529,-59.58323054578149,0.15180105067729113,-0.57763386,0.76643085,1.3440647,0.39400005,0.783,0.38899994,0.12399999999999878,13.935736,14.51337,13.169305,11.879,11.485,11.096,11.447,11.323,0.93699163,0.6469172,0.568052,0.71732026
5254202306934903552,161.56231051854567,-60.42915398350199,0.2728446043985544,-1.286686,1.1230984,2.4097843,0.7880001,1.3730001,0.58500004,0.4060000000000006,13.252944,14.53963,12.129846,10.095,9.307,8.722,8.16,7.754,0.9947488,0.973668,0.9776888,0.98203516
5350291033247940480,161.67953625593748,-60.04211762612576,0.1861791808548328,-1.2018242,1.1167612,2.3185854,0.7399998,1.2039995,0.46399975,0.3699999999999992,13.282237,14.484061,12.165476,10.193,9.453,8.989,8.446,8.076,0.99499196,0.97130716,0.9777174,0.9813388
5337351838652951808,169.58268939584713,-61.559302667114444,0.13865102592871054,-1.1751642,1.0847254,2.2598896,0.59299946,0.9539995,0.36100006,0.10200000000000031,12.404218,13.579382,11.319492,9.485,8.892,8.531,8.272,8.17,0.99772316,0.9614004,0.9717158,0.97694653
5350349479166230144,161.20013347091003,-59.9082034044853,0.2082116477681734,-0.79271317,0.8992777,1.6919909,0.5430002,1.0310001,0.48799992,0.29100000000000037,11.571303,12.364017,10.672026,9.303,8.76,8.272,7.843,7.552,0.9988595,0.9350607,0.9674952,0.96713847
5350753274806465664,160.38623938331006,-58.21495876388551,0.17768952306578956,-0.8984928,0.9603119,1.8588047,0.5430002,0.97000027,0.42700005,0.2969999999999988,13.201365,14.099858,12.241054,10.805,10.262,9.835,9.36,9.063,0.9646063,0.9359654,0.95445853,0.9516768
5350570717198958976,160.32565237305445,-59.242225301290965,0.2088730275860552,-0.87858295,0.9457588,1.8243418,0.5600004,1.0710001,0.5109997,0.3550000000000004,13.080089,13.958672,12.13433,10.642,10.082,9.571,9.051,8.696,0.99556476,0.9051757,0.9202168,0.94031906
5350445548988371456,161.98689612342494,-59.14808340043583,0.249240905608063,-0.53120613,0.71850204,1.2497082,0.31799984,0.52199936,0.20399952,0.16500000000000004,10.126525,10.657731,9.408023,8.447,8.129,7.925,7.514,7.349,0.96701974,0.89927053,0.9114662,0.9259188
5338256844150504960,162.69283183166408,-60.47811020117575,0.12565943534502425,-0.65799713,0.8150549,1.473052,0.45200062,0.78600025,0.33399963,0.24599999999999866,11.909917,12.567914,11.094862,9.909,9.457,9.123,8.796,8.55,0.98731136,0.88189405,0.9032315,0.9241457
5337353487920551040,169.76751041162535,-61.46904360037708,0.15628118578624728,-1.3280888,1.1566877,2.4847765,0.69400024,1.0789995,0.38499928,0.11000000000000032,12.369473,13.697562,11.212786,9.205,8.511,8.126,7.69,7.58,0.99257636,0.8540106,0.8260391,0.89087534
5337603218859736320,169.2324456855681,-59.89873207684007,0.11693781849860777,-0.30235767,0.5035267,0.80588436,0.28799915,0.6449995,0.35700035,0.20699999999999896,13.064194,13.366551,12.560667,11.671,11.383,11.026,10.86,10.653,0.73588234,0.8216289,0.79323894,0.7835834
5334772972852095872,178.57987543539957,-61.521663064193255,0.1629085281173164,-0.61854553,0.78372,1.4022655,0.49400043,1.0530005,0.559,0.7280000000000006,11.32369,11.942236,10.53997,9.385,8.891,8.332,6.964,6.236,0.99450725,0.9914438,0.9893974,0.99178284
5333318937420478080,176.00868522961545,-62.97427170042036,0.1435690115030242,-1.5655079,1.2232847,2.7887926,0.6890001,1.0820007,0.3930006,0.08300000000000018,13.507622,15.07313,12.284337,10.055,9.366,8.973,8.683,8.6,0.97911215,0.93948424,0.93438065,0.95099235
5334115082576326016,174.06198160039798,-62.29746175570426,0.2493408085866047,-0.9886856,1.007124,1.9958096,0.55999947,1.1569996,0.5970001,0.3340000000000014,13.020828,14.009514,12.013704,10.245,9.685,9.088,8.781,8.447,0.9919103,0.9051856,0.8793299,0.9254753
5335932923254545920,173.11640792805545,-60.80400939929849,0.2166639929184041,-0.2216587,0.43206692,0.6537256,0.27299976,0.5760002,0.30300045,0.1899999999999995,10.991646,11.2133045,10.559579,10.219,9.946,9.643,9.343,9.153,0.90841025,0.9224008,0.8966939,0.9091683
5334864335384747520,176.6337940339928,-61.64099453534047,0.13998453120799184,-1.3939075,1.1556425,2.54955,0.7470007,1.1310005,0.38399982,0.013999999999999346,13.310546,14.704453,12.154903,10.265,9.518,9.134,8.862,8.848,0.90598184,0.90587324,0.8318903,0.8812485
5334676937370473984,178.98992840765376,-62.34452981221582,0.1676892816413733,-1.2337656,1.099472,2.3332376,0.62700033,0.9560003,0.329,0.11699999999999999,10.825884,12.059649,9.726412,7.906,7.279,6.95,6.691,6.574,0.92183346,0.8957375,0.69604695,0.8378727
5334140714941902848,174.89567621906593,-61.93085248676518,0.22703191105363377,-0.80566597,0.93888664,1.7445526,0.49399948,0.9040003,0.4100008,0.20599999999999952,12.849301,13.654967,11.910415,9.823,9.329,8.919,9.878,9.672,0.94756746,0.77073985,0.759752,0.82601976
5333261792834376192,176.92979797251064,-63.06287777224318,0.1927129497679992,-1.3085461,1.1392632,2.4478092,0.658,0.9869995,0.32899952,0.09999999999999964,12.55014,13.858686,11.410877,9.551,8.893,8.564,8.317,8.217,0.8864656,0.77285737,0.8045804,0.82130116
5333973215531534208,174.02962059952512,-63.100401687602265,0.18064286824809317,-1.2576628,1.1264124,2.3840752,1.1700001,2.3780003,1.2080002,0.8360000000000003,13.7049055,14.962568,12.578493,10.418,9.248,8.04,6.889,6.053,0.9532478,0.7031772,0.69530785,0.78391093
